Ward,travel_time_to_cities_2015
Got Kachola,39.98962730006345
Kachieng',88.78913211741124
Kendu Bay Town,35.53505969396332
Abakaile,104.66012959315736
Abogeta East,14.896946870742845
Abogeta West,102.77535306870917
Abothuguchi Central,8.299407057739913
Abothuguchi West,81.929096966134
Adamsajide,149.8484519091506
Adu,283.88252609180245
Baraki,208.37345019419072
Ageng'a/Nanguba,37.331130046985756
Ahero,21.46568601230275
Ainabkoi/Olare,41.339610978323556
Ainamoi,61.03161902659748
Airbase,0.0
Airport,1.2066532258064517
Akachiu,103.98511410469338
Akirang'ondu,89.93447253212823
Akithi,37.92836044431502
Alale,293.4969353235036
Alango Gof,116.37521948856644
Amalo,131.87387881399076
Amuathi,112.19141571983528
Amukura Central,21.73701744072115
Amukura East,24.580788684900718
Amukura West,17.468476798924
Angata Barikoi,101.57260254023068
Ang'orom,10.29219182293268
Ang'urai East,25.710337202874516
Ang'urai North,39.046919942473636
Ang'urai South,22.87989925052219
Angata Nanyokie,239.47055170572608
Antuambui,83.34561050298613
Arabia,175.61349015716584
Arbajahan,179.00415295408249
Arror,76.83449450379315
As-habito,124.55798451516486
Athi,236.24305444384638
Athi River,11.512734082397001
Athiru Gaiti,171.09014430098745
Athiru Runjine,82.71484374999999
Athwana,47.140988372093
Atuabetwe Kiongo,98.7614546897869
Awasi/Onjiko,30.956784788245454
Baawa,229.26073920475233
Babadogo,0.0
Bahari,190.1196821036107
Bahati,11.994274238345506
Balambala,177.72588707155293
Bamba,130.17821770092553
Bamburi,2.875758991125643
Banane,149.37219606544193
Bangale,237.2047641989119
Banissa,259.35028569017965
Banja,29.750981354268887
Baragwi,38.959436379163115
Malindi Town,40.1549043062201
Bartabwa,99.10366632337792
Tirioko,98.76405385107512
Barut,8.183736809435132
Barwago,2.98945868945869
Bassi Bogetaorio,25.617128902843195
Bassi Central,23.349096705632288
Basuba,395.67014174704525
Batei,96.72034486537828
Benane,307.6484155776478
Biashara,16.942005012531315
Bibirioni,9.072046109510088
Bidii,4.522216414009409
Birongo,8.6260510399764
Bobaracho,1.7998415931206155
Bobasi Chache,12.966832298136652
Bobasi/Boitangare,11.27386784562074
Bofu,0.0
Bogeka,6.167624521072797
Bogertenga,19.858974358974358
Bogiakumu,6.680750030439547
Bogichora,21.317896442314183
Bogisero,11.93742206099082
Boikanga,28.103278688524593
Boito,91.24067007715541
Bokeira,31.18921750342496
Bokeire,14.42864161139769
Bokimonge,32.17193870378182
Bokoli,23.97302786578927
Bomani,96.56707317073172
Bomariba,13.059343017497529
Bomwagamo,30.165283018867928
Bonyamatuta,16.324573202276255
Boochi Borabu,20.071086501047592
Boochi/Tendere,11.81372123317412
Borabu Masaba,20.748824082784573
Borabu/Chitago,44.72145498452947
Bosamaro,21.127776110444177
Bosoti/Sengera,39.2547622618869
Bukembe East,18.346532715767502
Bukembe West,7.799080635893505
Bukhayo Central,23.198752977441497
Bukhayo East,22.331001933356074
Bukhayo North/ Walat,17.21285957868104
Bukhayo West,8.295506085990652
Bukira Central/Ikerege,37.24264169983739
Bukira East,28.487074965201828
Bulla Pesa,25.65134099616857
Bumula,23.503854098443252
Bunyala Central,16.306893517160454
Bunyala East,32.542262389806645
Bunyala North,41.00908344204474
Bunyala South,70.20862791844787
Bunyala West,43.616253928627174
Bura,304.4575089082136
Burat,96.98615805135523
Burder,165.9913989032508
Burumba,6.866125760649088
Busali,18.227226052515768
Busibwabo,16.482621951219517
Butali/Chegulo,25.693195080348318
Bute,136.36559291039526
Butiye,231.38990255572907
Butsotso Central,7.779338734971249
Butsotso East,8.706931977938792
Butsotso South,23.72797059141529
Bwake/Luuya,21.030982406974932
Bwiri,39.95082870391625
Califonia,0.0
Central,61.046469475515295
Central Alego,35.9262531819072
Central Bunyore,8.216337959581203
Central Gem,14.887204405571751
Central Kamagambo,19.36286780851998
Central Kanyamkago,28.354165452107498
Central Kasipul,20.86608334569183
Central Kisumu,13.997366356606518
Central Maragoli,9.777281553398062
Central Nyakach,31.677297603321374
Central Sakwa,91.60849507501757
Central Seme,48.482761391947285
Chaani,0.0
Chaik,138.88209688868648
Chakol North,22.933735747820247
Chakol South,14.239186356707311
Chala,186.4656399601556
Changamwe,0.0
Charagita,26.90973621103119
Chari,456.6175487054841
Chasimba,28.78433367243133
Chavakali,11.155148095909732
Chawia,214.83267349555857
Cheboin,24.297101449275367
Chebukwabi,11.220490581379584
Chebunyo,41.26189158486498
Chekalaini,30.63432835820895
Chemagel,14.892532349425771
Chemaner,62.61944087186081
Chemelil,29.136151177651996
Chemelil/Chemase,32.39351504302129
Chemosot,13.930727326266195
Chemuche,27.12298221614225
Chemundu/Kapng'entuny,7.141839723109689
Chengoni/Samburu,63.61315946037208
Chepareria,65.1723635740598
Chepchabas,28.993532202980024
Chepchoina,86.15794070276523
Chepkorio,27.664208813653193
Chepkumia,36.88571886520277
Chepkunyuk,19.801295260523982
Cheplanget,27.830591259640098
Chepseon,57.79500101530338
Chepsiro/Kiptoror,34.69130537787253
Cheptais,51.284240225715436
Chepterwai,44.692204878514495
Cheptiret/Kipchamo,17.88226984317011
Cheptororiet/ Seretut,25.59705580280725
Chepyuk,57.46343226925998
Cherab,481.01672688529396
Cherangany/Chebororwa,42.67762840399862
Cherangany/Suwerwa,24.046923293059834
Chesikak,31.97655011265961
Chesoen,17.24310969583836
Chevaywa,35.485914676559254
Chewani,114.3379192407833
Chewele,137.19669772177517
Chiakariga,50.72175077092245
Chilchila,83.74331705436316
Chinga,70.12480713758639
Chogoria,85.3649904143931
Chuluni,116.71168193408245
Churo/Amaya,168.83975606788724
Cianda,7.410564038641318
Clay City,0.0
Dabaso,41.554910747080015
Dadaab,16.264018691588788
Dadaja Bula,156.62689479899527
Dalalekutuk,103.77404559973566
Damajale,142.4109514970837
Danaba,220.8757882892783
Dandora Area Four,0.0
Dandora Area Three,0.0
Dandora Area Two,0.0
Dandora Area one,0.0
Dandu,177.1154286868467
Danyere,337.5901641648395
Dedan Kimathi,85.17648100593287
Dekaharia,457.1887250633118
Dela,104.0315025625045
Derkale,198.7616283711498
Dertu,154.04112531852405
Dukana,674.2849612633768
Dundori,10.89801543550165
Dungicha,65.32733199598805
Dzombo,43.27467918743554
East Alego,30.99923268751198
East Asembo,43.8052599932028
East Bunyore,8.28661383128868
East Gem,12.266484716157207
East Kabras,27.76004735907386
East Kamagak,29.17649477753104
East Kamagambo,24.347127381013497
East Kano/Wawidhi,33.13780404778114
East Kanyamkago,26.596575860764275
East Sang'alo,17.224660773026315
East Seme,21.891489458585678
East Ugenya,32.27494511720133
East Wanga,21.436231949255475
Eastleigh North,0.0
Eastleigh South,0.0
Ekalakala,94.78518784828326
Ekerenyo,21.04728950403691
El Wak North,68.1609348052088
El Wak South,20.09516932479384
El-Nur/Tula-tula,65.30947034983929
El-barta,228.16558073901163
Elben,179.27370074386798
Elburgon,23.831584180291653
Eldas,116.84235298922337
Elementaita,74.23304853447252
Elugulu,26.862543511697545
Emabungo,2.4406677393403062
Emali/Mulala,69.49528017035878
Embakasi,3.0114618684766605
Embobut,125.07939193519447
Embomos,111.48061133463203
Emining,72.97116069892598
Emsoo,81.07999219799746
Embobut/Embulot,52.07991491422244
Endo,99.82466469120399
Endugh,212.22124543996716
Engineer,31.55842965886666
Entonet/Lenkism,185.36864418010637
Esise,29.083019138927792
Etenje,40.39527139527139
Evurore,65.1536945977309
Ewalel/Chapchap,75.38555213109824
Ewuaso O o Nkidong'i/M,112.82754988399083
Fafi,155.94497233104624
Faza,267.00773293096944
Fino,203.32692707154558
Frere Town,0.0
Gaaki/Aguthi,11.725322500178184
Gachuba,13.169836355594875
Gaichanjiru,25.3464506827241
Gakawa,40.81003244997296
Galbet,1.7222222222222223
Ganda,45.07381303871612
Ganga,33.000193199381776
Ganyure,143.14752168144327
Garashi,98.92960779585756
Garba Tulla,225.734944267516
Garsen Central,141.03113781229402
Garsen North,220.58887986796705
Garsen South,146.34614654138346
Garsen West,405.0040462854369
Gatanga,16.522292993630572
Gatarakwa,85.45236717770709
Gathaite,32.8735362176565
Gathanji,36.19285619527728
Gathara,74.70973308531856
Gatimu,30.660666358167504
Gatina,0.0
Gatitu/Muruguru,3.6549631151368014
Gatongora,23.550786672836644
Gatunga,153.54270623962248
Gaturi,40.29953676518562
Gaturi North,44.976186147973074
Gaturi South,37.497970040599185
Gem East/Rangwe,27.80608956550727
Gem West,27.53301233824857
Gembe,82.11535059752758
Gesima,29.352611713137705
Gesusu,19.799957415096348
Geta,87.26409793993199
Getenga,45.521329211746526
Gikondi,40.53034488904732
Gilgil,22.257620527289028
Gisambai,19.1239460370995
Gitaru,0.24430045596352296
