Ward,density_2015,density_2020,delta_2015_2020
Got Kachola,213.86108001101235,238.06192937448606,24.200849363473708
Kachieng',135.6132568535913,150.96244986627576,15.349193012684452
Kendu Bay Town,308.49425341097947,343.41073596980635,34.916482558826885
Abakaile,17.99947830356572,27.8944127069627,9.89493440339698
Abogeta East,492.2908871677709,544.5873043992083,52.296417231437374
Abogeta West,211.5382949945553,234.0101608541157,22.47186585956041
Abothuguchi Central,668.780605352827,739.8256650381843,71.04505968535727
Abothuguchi West,201.91765204847917,223.36751085328115,21.449858804801977
Adamsajide,33.11823852430452,51.31860837899618,18.200369854691658
Adu,9.831551803214863,11.367815218526067,1.536263415311204
Baraki,11.955027883128107,18.52711928674454,6.572091403616433
Ageng'a/Nanguba,354.2915557974375,402.70171727733765,48.410161479900125
Ahero,649.5588172830579,723.0782033619653,73.51938607890736
Ainabkoi/Olare,184.24891848247472,220.49876676205375,36.24984827957903
Ainamoi,420.70450362476936,503.1666033225333,82.46209969776396
Airbase,31890.727349993405,38590.42864614747,6699.701296154064
Airport,4163.820457131098,4814.452760083779,650.6323029526811
Akachiu,500.8134651993425,554.015243062497,53.20177786315452
Akirang'ondu,483.8461981995069,535.2455328602023,51.39933466069539
Akithi,456.2213926649742,504.68612410872527,48.46473144375108
Alale,47.90811222897781,57.328211870451725,9.420099641473918
Alango Gof,91.36522777004494,141.59184865416373,50.22662088411879
Amalo,293.5397178510775,351.2918598403537,57.7521419892762
Amuathi,111.25538846134162,123.07412977404597,11.818741312704347
Amukura Central,476.2589459185834,541.0173806273447,64.75843470876129
Amukura East,426.24063289824727,484.1979226452944,57.95728974704713
Amukura West,453.8160406829149,515.5490167840163,61.73297610110143
Angata Barikoi,103.1877863721259,122.15696884849844,18.969182476372538
Ang'orom,1391.6040238697933,1587.2554708645596,195.65144699476627
Ang'urai East,480.9408222867043,546.3358710883118,65.39504880160752
Ang'urai North,458.27020711002115,520.5263116150396,62.25610450501847
Ang'urai South,451.07412960640005,512.4145831788536,61.340453572453555
Angata Nanyokie,25.679709640550264,30.732035445555958,5.052325805005694
Antuambui,140.01685935217427,154.89095414258202,14.874094790407753
Arabia,46.955931019624025,72.65426566373924,25.698334644115214
Arbajahan,14.022598136626625,21.730922896731208,7.708324760104583
Arror,130.67411097637077,156.38344405211836,25.709333075747594
As-habito,27.070259972736427,41.951716381207845,14.881456408471418
Athi,9.256106326954693,10.23942195313564,0.9833156261809464
Athi River,587.1777734948437,651.923841118042,64.74606762319831
Athiru Gaiti,58.97539317303443,65.24039296082017,6.26499978778574
Athiru Runjine,407.52982823293314,450.82201856976275,43.292190336829606
Athwana,171.1699156161035,189.35341940685458,18.183503790751075
Atuabetwe Kiongo,294.92927647793834,326.2598276599637,31.330551182025374
Awasi/Onjiko,333.4315692531635,371.1975917992042,37.76602254604069
Baawa,15.338532699385873,18.35629525034692,3.0177625509610486
Babadogo,19004.37365363626,22996.870404738154,3992.496751101895
Bahari,100.29712173392603,115.96939773172252,15.67227599779649
Bahati,454.9488499995164,544.2762268563166,89.32737685680019
Balambala,24.31429833916194,37.68070730413908,13.366408964977136
Bamba,31.173059409417494,36.04411477968764,4.871055370270145
Bamburi,4193.920308207419,4849.255981687913,655.3356734804938
