feature,importance,model,time_horizon,time_period
travel_time_to_cities_2015,0.0022842498,hb,1,2025-08-01
density_2015,0.002208953,hb,1,2025-08-01
density_2020,0.0021454454,hb,1,2025-08-01
delta_2015_2020,0.004001828,hb,1,2025-08-01
avg_temp_z_score_lag_1,0.0018886933,hb,1,2025-08-01
hot_days_z_score_lag_1,0.00010955399,hb,1,2025-08-01
cold_days_z_score_lag_1,9.2286304e-05,hb,1,2025-08-01
consec_hot_days_z_score_lag_1,0.00017454433,hb,1,2025-08-01
consec_cold_days_z_score_lag_1,0.0003189999,hb,1,2025-08-01
precip_total_z_score_lag_1,0.00021097081,hb,1,2025-08-01
wet_days_z_score_lag_1,0.00018243678,hb,1,2025-08-01
dry_days_z_score_lag_1,0.00022164277,hb,1,2025-08-01
consec_wet_days_z_score_lag_1,4.899609e-05,hb,1,2025-08-01
consec_dry_days_z_score_lag_1,0.0002091235,hb,1,2025-08-01
conflict_100km_lag_1,0.00016044939,hb,1,2025-08-01
conflict_500km_lag_1,0.00034395416,hb,1,2025-08-01
fatalities_100km_lag_1,8.668696e-05,hb,1,2025-08-01
fatalities_500km_lag_1,0.0001270484,hb,1,2025-08-01
conflict_12m_100km_lag_1,0.00050838414,hb,1,2025-08-01
conflict_12m_500km_lag_1,0.000539384,hb,1,2025-08-01
fatalities_12m_100km_lag_1,0.0001838672,hb,1,2025-08-01
fatalities_12m_500km_lag_1,0.0006482492,hb,1,2025-08-01
NDVI_mean_lag_1,0.00049987854,hb,1,2025-08-01
EVI_mean_lag_1,0.00047218997,hb,1,2025-08-01
NDVI_z_score_lag_1,0.00028087772,hb,1,2025-08-01
EVI_z_score_lag_1,0.00021797245,hb,1,2025-08-01
NDVI_z_score_crops_lag_1,0.00022919297,hb,1,2025-08-01
NDVI_z_score_grass_lag_1,9.9898396e-05,hb,1,2025-08-01
NDVI_z_score_shrub_and_scrub_lag_1,0.00015926671,hb,1,2025-08-01
NDVI_z_score_trees_lag_1,0.0002182858,hb,1,2025-08-01
EVI_z_score_crops_lag_1,0.00014697983,hb,1,2025-08-01
